UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,L10001,L,298.1,307.5,1645,43.6,151,0,0,0,0,0,0
2,H10002,H,298.1,307.7,1349,32.1,85,0,0,0,0,0,0
3,M10003,M,298.1,307.1,1465,44.7,68,0,0,0,0,0,0
4,M10004,M,298.0,307.1,1288,46.4,88,0,0,0,0,0,0
5,L10005,L,298.1,308.5,1501,36.0,179,0,0,0,0,0,0
6,L10006,L,298.1,308.2,1547,47.3,70,0,0,0,0,0,0
7,L10007,L,298.1,308.6,1538,30.6,245,0,0,0,0,0,0
8,H10008,H,298.1,308.3,1440,46.6,57,0,0,0,0,0,0
9,M10009,M,298.1,308.8,1286,48.6,149,0,0,0,0,0,0
10,M10010,M,298.1,309.0,1376,42.1,58,0,0,0,0,0,0
11,L10011,L,298.2,306.4,1626,38.8,171,0,0,0,0,0,0
12,H10012,H,298.2,307.3,1588,41.9,36,0,0,0,0,0,0
13,H10013,H,298.2,307.9,1491,36.4,161,0,0,0,0,0,0
14,L10014,L,298.2,308.2,1516,55.7,99,0,0,0,0,0,0
15,L10015,L,298.2,307.5,1397,36.5,112,0,0,0,0,0,0
16,L10016,L,298.2,309.1,1629,47.9,184,0,0,0,0,0,0
17,L10017,L,298.2,310.2,1428,35.6,184,0,0,0,0,0,0
18,M10018,M,298.2,308.3,1544,49.6,167,0,0,0,0,0,0
19,L10019,L,298.1,308.2,1367,52.1,19,0,0,0,0,0,0
20,L10020,L,298.1,309.0,1482,42.3,228,0,0,0,0,0,0
21,M10021,M,298.2,306.3,1625,41.7,16,0,0,0,0,0,0
22,L10022,L,298.3,308.3,1405,34.3,179,0,0,0,0,0,0
23,L10023,L,298.2,309.2,1575,33.5,3,0,0,0,0,0,0
24,L10024,L,298.3,307.6,1392,41.8,190,0,0,0,0,0,0
25,L10025,L,298.2,307.0,1410,48.7,244,1,0,0,0,1,0
26,M10026,M,298.3,308.1,1499,36.7,49,0,0,0,0,0,0
27,L10027,L,298.2,308.2,1597,53.2,81,0,0,0,0,0,0
28,M10028,M,298.2,307.3,1470,36.3,219,0,0,0,0,0,0
29,M10029,M,298.3,310.4,1562,41.4,49,0,0,0,0,0,0
30,L10030,L,298.2,307.7,1614,41.4,15,0,0,0,0,0,0
31,M10031,M,298.2,307.1,1423,39.4,234,0,0,0,0,0,0
32,L10032,L,298.3,308.2,1347,27.7,71,0,0,0,0,0,0
33,L10033,L,298.3,309.2,1464,36.3,60,0,0,0,0,0,0
34,H10034,H,298.3,308.4,1627,41.2,43,0,0,0,0,0,0
35,H10035,H,298.3,308.8,1419,39.4,145,0,0,0,0,0,0
36,H10036,H,298.4,307.5,1601,43.8,245,0,0,0,0,0,0
37,L10037,L,298.3,309.7,1474,44.5,49,0,0,0,0,0,0
38,L10038,L,298.4,308.9,1676,38.6,220,0,0,0,0,0,0
39,M10039,M,298.4,309.5,1725,34.2,231,0,0,0,0,0,0
40,L10040,L,298.4,308.8,1603,49.3,79,0,0,0,0,0,0
41,L10041,L,298.3,309.2,1335,31.9,29,0,0,0,0,0,0
42,L10042,L,298.4,307.5,1260,36.4,48,0,0,0,0,0,0
43,L10043,L,298.3,307.8,1506,34.9,97,0,0,0,0,0,0
44,H10044,H,298.3,309.7,1591,44.5,221,0,0,0,0,0,0
45,L10045,L,298.3,309.9,1550,47.9,148,0,0,0,0,0,0
46,M10046,M,298.3,307.1,1428,39.0,149,0,0,0,0,0,0
47,L10047,L,298.3,308.6,1351,41.4,174,0,0,0,0,0,0
48,M10048,M,298.4,307.9,1593,42.6,24,0,0,0,0,0,0
49,M10049,M,298.4,307.7,1686,50.8,213,0,0,0,0,0,0
50,L10050,L,298.4,308.7,1433,29.4,55,0,0,0,0,0,0
51,H10051,H,298.4,309.5,1583,44.5,191,0,0,0,0,0,0
52,M10052,M,298.4,308.9,1760,42.3,155,0,0,0,0,0,0
53,H10053,H,298.4,308.1,1481,37.8,230,0,0,0,0,0,0
54,H10054,H,298.3,308.8,1483,42.0,160,0,0,0,0,0,0
55,M10055,M,298.4,308.0,1556,44.4,193,0,0,0,0,0,0
56,H10056,H,298.5,308.9,1472,43.5,3,0,0,0,0,0,0
57,L10057,L,298.5,309.9,1634,53.0,207,1,0,0,1,0,0
58,L10058,L,298.6,306.5,1460,40.8,11,0,0,0,0,0,0
59,L10059,L,298.6,309.4,1497,40.2,144,0,0,0,0,0,0
60,L10060,L,298.6,307.0,1356,38.9,247,1,0,1,0,0,0
61,L10061,L,298.5,309.8,1476,43.3,35,0,0,0,0,0,0
62,L10062,L,298.6,308.0,1399,39.8,15,0,0,0,0,0,0
63,H10063,H,298.6,307.4,1535,40.1,230,0,0,0,0,0,0
64,L10064,L,298.6,309.3,1334,40.1,150,0,0,0,0,0,0
65,L10065,L,298.6,309.0,1598,39.2,199,0,0,0,0,0,0
66,M10066,M,298.6,307.6,1413,36.3,120,0,0,0,0,0,0
67,L10067,L,298.6,307.4,1678,42.5,136,0,0,0,0,0,0
68,H10068,H,298.6,308.4,1637,38.3,77,0,0,0,0,0,0
69,L10069,L,298.6,307.4,1554,43.7,54,0,0,0,0,0,0
70,H10070,H,298.6,307.6,1346,40.7,72,0,0,0,0,0,0
71,M10071,M,298.7,308.8,1437,37.7,63,0,0,0,0,0,0
72,L10072,L,298.7,307.8,1410,49.4,174,0,0,0,0,0,0
73,L10073,L,298.7,309.1,1423,39.4,244,0,0,0,0,0,0
74,H10074,H,298.7,310.2,1658,43.7,89,1,0,0,0,0,1
75,M10075,M,298.7,308.5,1485,35.8,227,0,0,0,0,0,0
76,M10076,M,298.7,308.8,1434,27.8,194,0,0,0,0,0,0
77,M10077,M,298.7,310.7,1425,36.6,245,0,0,0,0,0,0
78,L10078,L,298.7,307.5,1447,27.2,137,0,0,0,0,0,0
79,L10079,L,298.7,309.9,1553,38.6,250,0,0,0,0,0,0
80,L10080,L,298.6,309.7,1337,48.8,88,0,0,0,0,0,0
81,H10081,H,298.6,309.4,1510,34.6,3,0,0,0,0,0,0
82,M10082,M,298.5,309.8,1542,27.4,29,0,0,0,0,0,0
83,L10083,L,298.5,308.8,1326,49.0,241,1,0,0,0,1,0
84,L10084,L,298.6,308.1,1358,37.1,138,0,0,0,0,0,0
85,L10085,L,298.6,309.7,1495,39.9,50,0,0,0,0,0,0
86,L10086,L,298.6,309.7,1644,44.7,146,0,0,0,0,0,0
87,M10087,M,298.6,309.7,1620,43.1,241,0,0,0,0,0,0
88,M10088,M,298.6,308.6,1439,44.5,140,0,0,0,0,0,0
89,H10089,H,298.6,307.9,1641,45.4,184,0,0,0,0,0,0
90,L10090,L,298.6,308.8,1468,29.5,227,0,0,0,0,0,0
91,L10091,L,298.7,309.6,1467,31.5,130,0,0,0,0,0,0
92,M10092,M,298.7,309.7,1509,47.0,111,0,0,0,0,0,0
93,M10093,M,298.8,308.4,1584,35.3,77,0,0,0,0,0,0
94,M10094,M,298.8,309.1,1439,36.0,201,0,0,0,0,0,0
95,M10095,M,298.8,307.5,1460,32.4,165,0,0,0,0,0,0
96,L10096,L,298.9,309.9,1375,37.6,231,0,0,0,0,0,0
97,M10097,M,298.9,308.1,1535,37.9,26,0,0,0,0,0,0
98,L10098,L,298.9,309.7,1593,34.4,87,0,0,0,0,0,0
99,L10099,L,299.0,307.8,1599,33.7,207,0,0,0,0,0,0
100,L10100,L,299.1,310.1,1363,41.9,137,0,0,0,0,0,0
101,L10101,L,299.1,309.4,1462,35.2,117,0,0,0,0,0,0
102,M10102,M,299.0,308.3,1625,36.4,180,0,0,0,0,0,0
103,L10103,L,299.0,309.7,1523,26.9,154,0,0,0,0,0,0
104,M10104,M,299.1,308.5,1503,51.6,6,0,0,0,0,0,0
105,H10105,H,299.1,309.9,1501,45.7,114,0,0,0,0,0,0
106,L10106,L,299.1,308.9,1554,37.0,91,0,0,0,0,0,0
107,L10107,L,299.2,307.4,1529,34.6,89,0,0,0,0,0,0
108,M10108,M,299.2,308.2,1442,40.1,81,0,0,0,0,0,0
109,L10109,L,299.2,308.8,1588,39.9,12,0,0,0,0,0,0
110,L10110,L,299.3,310.6,1380,32.3,71,0,0,0,0,0,0
111,L10111,L,299.2,310.1,1632,24.7,90,0,0,0,0,0,0
112,L10112,L,299.3,310.9,1410,36.8,187,0,0,0,0,0,0
113,H10113,H,299.3,310.9,1555,30.6,141,0,0,0,0,0,0
114,H10114,H,299.3,308.7,1484,41.0,104,0,0,0,0,0,0
